unit,mean,std,n,individual_ratings
Billy Crystal,3.1,0.9229,30,"[4, 3, 2, 4, 4, 1, 2, 3, 4, 4, 3, 4, 3, 3, 3, 1, 4, 4, 2, 4, 3, 3, 2, 4, 2, 3, 3, 3, 4, 4]"
Blondie,3.1379,1.2167,29,"[1, 1, 3, 2, 3, 2, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 1, 3, 5, 4, 3, 1, 1, 4, 4, 3, 4]"
Bob Gibson,2.4667,0.9371,30,"[3, 1, 1, 3, 4, 1, 3, 3, 1, 2, 3, 3, 1, 3, 1, 1, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Bob Marley,3.2333,1.0063,30,"[2, 3, 3, 4, 4, 3, 3, 2, 1, 3, 4, 5, 4, 3, 5, 4, 3, 3, 5, 3, 2, 4, 3, 3, 1, 4, 3, 4, 3, 3]"
Breanna,2.9667,0.7649,30,"[4, 3, 1, 3, 3, 4, 3, 3, 3, 3, 4, 4, 2, 3, 3, 1, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 2]"
Brian,2.4138,0.907,29,"[1, 3, 3, 3, 2, 1, 1, 3, 3, 3, 4, 3, 3, 3, 1, 3, 2, 3, 2, 3, 3, 1, 2, 1, 3, 3, 3, 1, 3]"
Britney,2.8333,0.8743,30,"[2, 3, 3, 4, 3, 1, 4, 4, 3, 2, 3, 4, 3, 3, 1, 1, 3, 2, 4, 2, 4, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Bryan,2.3,0.9154,30,"[3, 1, 3, 3, 3, 2, 4, 3, 2, 2, 3, 3, 3, 3, 1, 3, 2, 1, 1, 1, 2, 3, 3, 3, 1, 1, 3, 1, 2, 3]"
Burt Reynolds,3.2727,1.1798,33,"[4, 2, 4, 2, 4, 5, 5, 1, 3, 2, 5, 4, 4, 3, 4, 1, 3, 5, 1, 4, 3, 2, 3, 2, 3, 5, 4, 4, 3, 3, 4, 3, 3]"
Béla Bartók,3.1,0.9948,30,"[3, 3, 4, 5, 4, 1, 3, 3, 2, 4, 4, 2, 4, 3, 3, 1, 4, 4, 2, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 1]"
Cabernet Sauvignon,3.4,0.9685,30,"[4, 3, 3, 4, 4, 1, 4, 3, 4, 2, 5, 2, 3, 3, 3, 3, 5, 4, 2, 4, 4, 2, 5, 3, 3, 4, 4, 3, 4, 4]"
Cairo,3.6,0.8137,30,"[4, 4, 3, 5, 4, 1, 3, 3, 4, 3, 4, 4, 4, 3, 3, 4, 5, 5, 3, 4, 3, 4, 4, 4, 3, 3, 4, 3, 4, 3]"
Calvin,2.6667,0.8442,30,"[2, 2, 4, 1, 1, 1, 3, 3, 3, 3, 4, 3, 3, 2, 2, 3, 3, 3, 2, 3, 2, 4, 3, 3, 3, 3, 3, 2, 4, 2]"
Calvin Coolidge,2.5667,0.8172,30,"[3, 1, 2, 2, 3, 1, 2, 3, 3, 2, 3, 3, 4, 3, 1, 3, 4, 2, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2]"
