unit,mean,std,n,individual_ratings
Canada,4.5333,0.6814,30,"[3, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 3]"
Candace,2.8966,1.5433,29,"[3, 3, 3, 5, 5, 3, 1, 3, 5, 5, 5, 1, 1, 4, 1, 4, 5, 3, 1, 2, 5, 2, 1, 1, 1, 2, 3, 4, 2]"
Cape of Good Hope,2.9667,1.4016,30,"[2, 1, 3, 2, 1, 4, 4, 5, 5, 2, 5, 2, 2, 4, 2, 5, 1, 5, 1, 3, 3, 4, 5, 3, 2, 3, 3, 4, 2, 1]"
Captain James Cook,2.8,1.4479,30,"[2, 4, 5, 5, 3, 3, 5, 2, 1, 2, 3, 2, 5, 2, 1, 1, 1, 2, 5, 3, 2, 5, 3, 1, 3, 1, 4, 3, 1, 4]"
Capture the Flag,4.3667,1.0334,30,"[1, 4, 4, 4, 5, 5, 5, 5, 4, 4, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 2, 5, 5, 4, 5]"
Carl Maria von Weber,1.6667,1.1244,30,"[1, 1, 1, 1, 1, 5, 1, 3, 5, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 2, 2, 2, 1]"
Carolyn,3.0333,1.6501,30,"[3, 4, 3, 5, 4, 3, 1, 5, 5, 5, 5, 1, 1, 3, 1, 4, 5, 3, 1, 4, 2, 5, 1, 1, 1, 1, 2, 5, 5, 2]"
Catherine,3.2333,1.6955,30,"[3, 4, 3, 5, 5, 3, 1, 5, 5, 5, 5, 1, 1, 2, 5, 4, 5, 3, 1, 5, 2, 5, 1, 1, 1, 1, 5, 3, 5, 2]"
Catherine de Medici,2.2,1.3235,30,"[1, 3, 2, 2, 2, 1, 2, 5, 1, 1, 1, 4, 1, 4, 2, 2, 1, 4, 3, 4, 1, 3, 5, 1, 1, 1, 3, 1, 3, 1]"
Cathy,3.9333,1.388,30,"[4, 5, 3, 4, 5, 1, 3, 1, 5, 5, 1, 5, 5, 1, 3, 4, 3, 5, 4, 5, 5, 5, 3, 5, 4, 4, 5, 5, 5, 5]"
Celia,2.9667,1.4735,30,"[2, 2, 3, 5, 1, 3, 5, 2, 1, 5, 2, 4, 3, 5, 1, 3, 5, 5, 1, 3, 5, 3, 3, 5, 1, 2, 2, 1, 3, 3]"
Celina,2.9333,1.5298,30,"[1, 1, 2, 3, 2, 5, 2, 3, 2, 1, 3, 2, 3, 1, 5, 1, 2, 3, 5, 5, 1, 5, 5, 1, 5, 4, 3, 3, 4, 5]"
Chad Ochocinco,2.8,1.606,30,"[2, 1, 1, 1, 1, 1, 1, 5, 5, 5, 2, 5, 1, 1, 5, 4, 2, 5, 4, 1, 5, 3, 3, 2, 2, 3, 3, 3, 2, 5]"
Chantel,2.3333,1.3979,30,"[2, 1, 4, 1, 2, 4, 3, 3, 1, 1, 5, 3, 1, 2, 2, 3, 4, 4, 1, 3, 1, 5, 2, 1, 1, 5, 2, 1, 1, 1]"
Charlemagne,3.4667,1.306,30,"[3, 5, 3, 3, 2, 5, 2, 5, 2, 1, 5, 5, 3, 4, 3, 2, 4, 4, 4, 5, 5, 5, 2, 2, 3, 5, 2, 2, 3, 5]"
Charles,4.1034,1.3187,29,"[4, 4, 5, 5, 5, 4, 5, 1, 5, 3, 5, 5, 5, 5, 4, 1, 5, 4, 3, 5, 5, 5, 1, 5, 5, 4, 4, 5, 2]"
Chester,3.4333,1.6121,30,"[1, 5, 2, 2, 2, 5, 3, 3, 2, 1, 5, 3, 4, 1, 5, 4, 2, 5, 5, 1, 1, 5, 5, 5, 5, 2, 5, 5, 4, 5]"
China,4.5862,0.6823,29,"[3, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4]"
Chloe,3.6333,1.5196,30,"[1, 5, 2, 3, 3, 5, 3, 3, 4, 1, 2, 5, 4, 1, 5, 5, 2, 3, 5, 5, 1, 5, 5, 5, 5, 2, 5, 5, 4, 5]"
Chris,3.5,1.6135,30,"[3, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 3, 1, 3, 2, 5, 1, 1, 4, 1, 3, 3, 5, 3]"
Christina,4.0333,1.3767,30,"[4, 5, 3, 4, 5, 1, 2, 1, 5, 5, 2, 5, 5, 1, 3, 5, 3, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5]"
Cialis,3.2333,1.4782,30,"[3, 5, 2, 1, 4, 5, 3, 5, 3, 1, 2, 3, 5, 1, 1, 2, 3, 2, 4, 5, 5, 5, 3, 4, 5, 1, 3, 2, 4, 5]"
Cincinnati,4.5333,0.7303,30,"[5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 2, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 4]"
Cindy,3.2333,1.6955,30,"[3, 5, 3, 5, 5, 3, 1, 5, 5, 5, 5, 1, 1, 4, 1, 5, 5, 3, 1, 5, 2, 5, 1, 1, 1, 2, 3, 4, 5, 2]"
Clark Gable,4.1333,1.1958,30,"[3, 5, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 2, 4, 5, 5, 5, 4, 5, 3, 5, 2, 1, 5, 4, 3, 5]"
Claudia,3.9,1.3481,30,"[4, 4, 3, 5, 5, 1, 2, 1, 5, 5, 2, 5, 5, 1, 3, 3, 3, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5]"
Cleopatra,4.3,0.9523,30,"[4, 4, 5, 5, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 3, 5, 4, 5, 1, 3, 5, 4, 4, 5, 4]"
Codeine,3.6667,1.2685,30,"[4, 5, 3, 5, 4, 5, 1, 5, 4, 1, 5, 5, 4, 4, 3, 5, 4, 4, 2, 4, 2, 4, 2, 3, 2, 5, 4, 2, 4, 5]"
Columbus Day,4.6,0.6215,30,"[3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 3, 5, 4, 4, 5, 4, 5, 5, 5, 4]"
Conan O'Brien,4.5667,0.7279,30,"[5, 5, 5, 4, 5, 4, 5, 4, 3, 5, 3, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4]"
Corey,3.5172,1.3789,29,"[5, 2, 5, 2, 4, 4, 5, 2, 1, 5, 3, 3, 5, 2, 3, 5, 5, 5, 3, 5, 5, 3, 5, 1, 3, 2, 2, 4, 3]"
Corinne,2.3333,1.1547,30,"[2, 1, 3, 3, 3, 5, 1, 2, 2, 1, 3, 5, 2, 3, 1, 2, 1, 4, 1, 2, 2, 4, 2, 2, 1, 2, 3, 3, 3, 1]"
Crystal,4.1667,1.2888,30,"[4, 3, 5, 5, 4, 5, 4, 1, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 5, 3, 5, 3, 5, 1, 3, 5, 5, 5, 5, 5]"
Curtis,3.2333,1.4782,30,"[5, 1, 5, 2, 5, 5, 3, 1, 3, 3, 3, 5, 2, 5, 1, 1, 4, 3, 1, 5, 2, 4, 5, 4, 3, 3, 4, 4, 4, 1]"
Cy Young,2.8333,1.6418,30,"[1, 5, 4, 2, 1, 5, 3, 1, 4, 1, 5, 5, 1, 5, 3, 2, 5, 4, 1, 2, 1, 4, 4, 2, 2, 5, 4, 1, 1, 1]"
Cyclops,4.1667,0.9499,30,"[5, 2, 5, 4, 4, 3, 5, 3, 4, 5, 2, 4, 5, 4, 4, 4, 5, 5, 5, 3, 5, 5, 3, 5, 5, 4, 3, 5, 5, 4]"
Cyprus,3.3667,1.3767,30,"[1, 4, 2, 5, 5, 3, 4, 4, 5, 2, 5, 5, 5, 5, 2, 3, 2, 5, 2, 2, 3, 3, 3, 3, 2, 1, 5, 2, 5, 3]"
Dale,3.4483,1.3519,29,"[3, 3, 5, 5, 3, 3, 4, 2, 5, 3, 3, 5, 1, 5, 3, 1, 5, 2, 3, 5, 3, 5, 1, 3, 5, 3, 4, 5, 2]"
Dan Aykroyd,3.9,1.3481,30,"[4, 5, 3, 5, 5, 1, 4, 5, 5, 5, 3, 5, 5, 5, 3, 4, 1, 5, 3, 2, 5, 4, 4, 4, 5, 4, 1, 5, 2, 5]"
Daniel,3.3,1.664,30,"[4, 5, 5, 5, 2, 3, 5, 5, 1, 1, 5, 4, 2, 2, 5, 4, 5, 4, 5, 4, 4, 5, 2, 1, 1, 5, 2, 1, 1, 1]"
Danielle Steel,3.2759,1.3861,29,"[3, 2, 4, 5, 1, 3, 1, 2, 5, 2, 5, 5, 5, 4, 5, 4, 3, 4, 5, 4, 2, 1, 3, 2, 5, 3, 3, 2, 2]"
Darren,3.2,1.4239,30,"[3, 2, 3, 5, 4, 4, 5, 2, 1, 3, 2, 4, 3, 5, 1, 5, 5, 5, 5, 3, 5, 4, 3, 1, 1, 3, 2, 1, 3, 3]"
David Beckham,4.2333,1.1043,30,"[5, 4, 3, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 1, 4, 5, 4, 3, 2, 4, 5, 4, 5, 5]"
David Hasselhoff,4.2667,1.0483,30,"[4, 4, 3, 5, 5, 3, 3, 5, 5, 5, 4, 5, 5, 5, 3, 3, 3, 5, 5, 1, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5]"
Deion Sanders,3.2667,1.596,30,"[1, 5, 5, 3, 3, 5, 3, 1, 4, 1, 5, 5, 2, 5, 3, 4, 5, 4, 1, 2, 2, 5, 5, 4, 1, 5, 4, 1, 1, 3]"
Demi Moore,4.4667,1.008,30,"[5, 4, 5, 5, 5, 3, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 3, 5, 1, 5, 5, 5]"
Denise,3.5333,1.4794,30,"[5, 2, 4, 5, 4, 4, 5, 2, 1, 5, 2, 4, 1, 5, 1, 5, 4, 5, 5, 4, 5, 5, 3, 5, 1, 3, 2, 2, 4, 3]"
Denzel Washington,4.8333,0.5307,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Derek Sanderson,1.9,0.9595,30,"[2, 2, 1, 2, 3, 3, 5, 3, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 3, 1, 3, 1, 2, 3, 1]"
Diazepam,2.8966,1.52,29,"[2, 4, 4, 3, 2, 2, 1, 2, 5, 2, 5, 5, 5, 4, 5, 3, 2, 5, 5, 2, 1, 3, 1, 2, 1, 1, 4, 1, 2]"
Diego,3.3333,1.4223,30,"[5, 2, 4, 1, 3, 3, 5, 2, 3, 5, 1, 4, 3, 5, 3, 3, 5, 5, 5, 3, 5, 5, 3, 5, 1, 2, 2, 1, 3, 3]"
Diego Rivera,2.1333,1.0417,30,"[2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 2, 3, 3, 2, 3, 4, 1, 1, 5, 2, 1, 1, 2, 2, 2, 2, 1, 1, 3, 4]"
Dmitri Shostakovich,1.7667,1.3047,30,"[1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 5, 1, 5, 1, 2, 1, 1, 1, 1, 1, 2, 2, 5, 3, 1, 1, 2, 1, 2]"
Don,4.0667,1.4606,30,"[1, 5, 3, 5, 5, 5, 5, 3, 5, 1, 5, 5, 4, 1, 5, 5, 2, 5, 5, 4, 1, 5, 5, 5, 5, 3, 5, 5, 5, 4]"
Don Johnson,4.0667,1.3374,30,"[5, 5, 1, 5, 3, 5, 2, 5, 5, 4, 2, 5, 5, 1, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 2, 2, 5, 4, 5]"
Donald,4.2333,1.4065,30,"[1, 5, 4, 5, 5, 5, 5, 3, 4, 1, 5, 5, 4, 1, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Drew,3.6,1.3544,30,"[4, 3, 5, 5, 4, 3, 5, 1, 5, 3, 3, 5, 2, 5, 5, 1, 5, 2, 3, 3, 4, 3, 5, 1, 3, 5, 4, 4, 5, 2]"
Duane,3.3,1.512,30,"[4, 4, 2, 5, 5, 1, 1, 1, 5, 5, 1, 5, 5, 1, 3, 3, 3, 3, 4, 5, 2, 4, 3, 1, 4, 4, 2, 5, 3, 5]"
