unit,mean,std,n,individual_ratings
EISENHOWER,4.2333,0.9714,30,"[5, 5, 5, 5, 3, 5, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 4, 3, 3, 5, 4, 5, 5, 5, 2, 3, 3, 3, 3, 5]"
ELIMINATES,4.7,0.7944,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 3, 5]"
EUNUCH,3.1333,1.4794,30,"[3, 4, 1, 3, 3, 2, 5, 1, 1, 1, 2, 5, 4, 1, 5, 3, 3, 5, 4, 5, 3, 5, 3, 5, 3, 4, 2, 2, 1, 5]"
EXCUSED,4.7241,0.5914,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 4, 3, 5]"
EXTRAMARITAL,4.4667,0.8996,30,"[5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 2, 3, 2, 4, 3, 5]"
EXTRAORDINARY,4.7,0.7497,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 4, 2, 5]"
EYEBALL,4.8929,0.4163,28,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
FLUNK,4.5172,1.0563,29,"[5, 5, 5, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 5, 2, 5, 4, 5]"
FOOTAGE,4.7241,0.5914,29,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 3, 5]"
FRANCIUM,1.7333,1.0148,30,"[3, 2, 2, 1, 1, 4, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 5, 2, 1, 1, 3, 2, 2, 1, 1, 1, 2, 2, 2, 1]"
FRISBEE,4.7667,0.6261,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 5]"
