word,mean,std,n
cape,4.613,1.754,31
captivate,4.097,1.399,31
captivating,4.7,1.656,30
captive,3.931,1.78,29
capture,4.636,1.755,33
car,6.833,0.453,30
caravan,5.581,1.582,31
carbohydrate,6.152,1.329,33
carbon,4.467,1.628,30
carcass,3.688,1.828,32
card,6.16,1.084,25
care,6.222,0.916,27
career,6.273,0.827,33
careful,6.219,0.992,32
caress,4.581,1.498,31
carnival,5.242,1.67,33
carol,4.563,1.968,32
carp,2.515,1.811,33
carpenter,4.606,1.969,33
carpet,6.324,1.077,34
carriage,4.581,1.845,31
carrot,6.618,0.768,34
carry,6.188,1.044,32
carve,4.212,1.887,33
case,5.594,1.4,64
case (container),5.438,1.391,32
case (instance),5.438,1.694,32
case (legal),4.618,1.627,34
cash,6.563,0.827,32
cashier,5.849,1.395,33
casino,4.546,1.76,33
cast,4.588,1.647,34
cast (actors),5.4,1.497,35
cast (plaster bandage),4.857,1.57,35
cast (throw),4.097,1.748,31
castle,5.931,1.258,29
casual,5.943,1.308,35
casualty,5.125,1.867,32
cat,6.375,1.341,32
catapult,3.567,1.764,30
catastrophe,4.559,1.666,34
catch,5.643,1.231,28
catch (a ball),6.286,1.084,35
catch (drawback),4.333,1.87,33
catch (restraint),5.353,1.678,34
catch (romantic),3.97,1.749,33
caterpillar,5.645,1.637,31
cathedral,4.971,1.699,35
cattle,5.233,1.707,30
caught,5.758,1.303,33
cauliflower,5.618,1.749,34
caution,5.121,1.683,33
cautious,5.677,1.3,34
cave,5.563,1.56,32
caviar,3.621,1.937,29
cavity,4.257,1.857,35
cease,4.281,1.807,32
ceiling,5.75,1.25,32
celebrate,6.375,0.96,32
celebration,6.0,1.057,34
celebrity,5.871,1.718,31
celery,5.645,1.77,31
cell,5.061,1.476,33
cell (biological),5.529,1.595,34
cell (jail),5.091,1.815,33
cellar,4.765,1.681,34
cello,4.375,2.043,32
cells,5.867,1.455,30
cement,5.114,1.924,35
cemetery,4.794,1.677,34
cervix,4.727,1.728,33
chain,5.714,1.596,35
chair,6.581,0.943,31
chair (head),4.484,1.829,31
chair (seat),6.457,0.966,35
chalice,2.97,1.867,33
chalk,4.885,1.601,26
chameleon,4.75,2.031,32
champion,5.833,1.416,30
chance,6.065,1.318,31
chandelier,4.97,1.834,33
change,6.355,0.9,31
change (coins),6.303,0.937,33
change (transform),6.147,1.191,34
chaos,5.697,1.467,33
chaotic,5.088,1.38,34
chapel,4.839,1.902,31
charge,5.576,1.393,33
charge (card),5.5,1.586,30
charge (dependent),3.5,1.819,34
charge (electric),5.344,1.796,32
charge (price),5.765,1.33,34
charge (rush),4.938,1.819,32
charity,6.088,1.147,34
charlatan,3.063,2.076,32
charm,6.069,1.258,29
charm (lucky),5.5,1.377,34
charm (social allure),5.188,1.861,32
charming,6.0,1.128,33
chasm,2.7,1.32,30
chauffeur,3.824,1.774,34
cheap,6.276,0.867,29
check,5.559,1.518,34
