word,mean,std,n
camel,4.267,0.727,30
camera,3.727,1.023,33
camouflage,5.486,0.906,35
camp,4.313,1.158,32
camp (effeminate),3.688,1.991,32
camp (tents),5.125,0.82,32
camper,4.714,0.913,35
campus,4.152,0.821,33
canal,3.606,0.886,33
cancer,4.156,1.034,32
candidate,4.467,0.763,30
candle,3.097,1.228,31
candy,2.743,0.873,35
candyfloss,2.485,0.892,33
cane,4.706,1.425,34
cane (beat),4.971,1.175,34
cane (stick),5.114,0.887,35
cane (sugar),3.546,0.856,33
cannon,5.333,1.044,30
canoe,4.75,0.935,32
canyon,4.824,0.89,34
cap,5.0,0.894,35
cap (hat),5.657,0.924,35
cap (limit),4.424,0.818,33
capable,3.971,1.0,35
capacity,4.177,1.317,34
cape,4.938,0.966,32
captivate,3.867,0.921,30
captivating,3.333,1.011,30
captive,4.276,1.047,29
capture,5.091,1.026,33
car,5.444,1.212,36
caravan,4.313,0.808,32
carbohydrate,4.091,1.19,33
carbon,4.909,1.083,33
carcass,4.625,0.992,32
card,3.714,0.839,28
care,2.323,1.089,31
career,4.273,1.399,33
careful,2.735,0.98,34
caress,2.355,0.969,31
carnival,3.343,0.893,35
carol,2.781,0.992,32
carp,4.414,0.72,29
carpenter,5.735,1.009,34
carpet,3.4,0.962,35
carriage,2.969,1.132,32
carrot,3.853,0.974,34
carry,4.424,1.016,33
carve,5.0,1.181,33
case,4.076,0.745,66
case (container),4.03,0.969,33
case (instance),4.588,0.943,34
case (legal),4.941,1.235,34
cash,4.706,1.016,34
cashier,3.471,1.169,34
casino,5.441,0.945,34
cast,3.971,0.56,35
cast (actors),4.371,1.197,35
cast (plaster bandage),4.229,0.831,35
cast (throw),4.849,1.54,33
castle,4.8,1.249,30
casual,4.371,0.959,35
casualty,4.455,1.104,33
cat,2.727,0.962,33
catapult,5.355,0.969,31
catastrophe,4.618,1.189,34
catch,4.393,0.9,28
catch (a ball),5.457,0.966,35
catch (drawback),4.281,1.007,32
catch (restraint),4.559,1.063,34
catch (romantic),3.324,1.585,34
caterpillar,4.0,0.875,34
cathedral,3.677,0.962,34
cattle,4.559,1.117,34
caught,4.343,0.63,35
cauliflower,3.364,1.039,33
caution,4.177,1.2,34
cautious,3.758,1.045,33
cave,4.914,1.296,35
