word,mean,std,n
breakfast,6.294,1.044,34
breast,6.5,0.883,34
breasts,6.559,0.735,34
breeze,5.029,1.706,34
brew,5.088,1.541,34
brewer,4.406,1.656,32
bribe,3.529,1.819,34
bridal,5.455,1.305,33
bridal (horse),5.636,1.453,33
bridal (marriage),5.303,1.642,33
bride,6.559,0.774,34
bridegroom,5.818,1.527,33
bridesmaid,6.394,1.071,33
bridesmaids,6.177,0.984,34
bridge,6.688,0.634,32
bridge (card game),5.147,1.556,34
bridge (structure),6.657,0.715,35
brief,2.765,1.681,34
bright,5.667,1.407,33
bright (light),5.486,1.68,35
bright (smart),4.229,1.79,35
brilliant,3.314,1.563,35
brilliant (great),3.303,1.679,33
brilliant (intelligent),3.257,1.645,35
brilliant (luminous),4.371,1.675,35
brink,2.871,1.238,31
brisk,3.765,1.895,34
broccoli,6.778,0.416,27
broken,4.294,1.506,34
bronze,6.086,1.273,35
broom,6.455,0.82,33
brother,6.559,0.774,34
brow,5.485,1.579,33
brown,6.194,1.148,31
brunch,5.333,1.385,33
brunette,6.455,0.856,33
brush,6.207,0.961,29
brushed,4.29,1.372,31
brutal,4.371,1.822,35
brute,4.353,1.923,34
bubble,6.576,0.698,33
bubbly,4.559,1.594,34
buffalo,6.529,0.652,34
bugle,5.136,2.029,22
build,5.765,1.214,34
builder,6.206,0.994,34
building,6.727,0.565,33
bulb,6.546,0.742,33
bulb (light),6.714,0.613,35
bulb (plant),6.242,0.889,33
bulge,5.75,1.25,32
bulk,4.265,1.614,34
bull,6.529,0.947,34
bulldozer,6.531,0.866,32
bullet,6.909,0.288,33
bullish,3.0,1.438,29
bully,5.486,1.556,35
bundle,5.457,1.25,35
bungalow,6.424,0.986,33
bunk,5.061,1.632,33
bunk (bed),6.286,1.278,35
bunk (truant),3.429,1.522,28
bunny,6.618,0.768,34
buoy,6.188,1.31,32
burden,3.029,1.485,34
burger,6.656,0.69,32
burglar,5.742,1.343,31
burglary,4.152,1.559,33
burgle,5.424,1.393,33
burial,6.091,1.026,33
burn,5.452,1.411,31
burner,4.909,1.602,33
burnt,4.969,1.489,32
burst,4.606,1.556,33
bury,5.206,1.53,34
bus,6.765,0.546,34
business,4.571,1.695,35
businessman,6.03,1.291,33
bust,5.343,1.372,35
bust (break),4.516,1.701,31
