word,mean,std,n
catch (a ball),5.147,1.717,34
catch (drawback),2.781,1.672,32
catch (restraint),4.375,1.576,32
catch (romantic),3.0,1.454,35
caterpillar,6.788,0.591,33
cathedral,6.412,0.878,34
cattle,6.5,0.978,34
caught,4.086,1.381,35
cauliflower,6.677,0.794,34
caution,2.677,1.277,34
cautious,2.618,1.394,34
cave,5.971,1.317,34
caviar,6.394,0.886,33
cavity,5.788,1.148,33
cease,3.742,1.684,31
ceiling,6.647,0.723,34
celebrate,4.258,1.414,31
celebration,4.371,1.605,35
celebrity,4.097,1.89,31
celery,6.606,0.814,33
cell,5.824,1.07,34
cell (biological),5.543,1.73,35
cell (jail),6.471,0.813,34
cellar,6.143,1.199,35
cello,6.706,0.666,34
cells,5.767,1.257,30
cement,6.657,0.674,35
cemetery,6.371,1.149,35
cervix,6.121,1.249,33
chain,6.343,1.04,35
chair,6.677,0.674,34
chair (head),4.897,1.626,29
chair (seat),6.677,0.756,34
chalice,5.393,1.858,28
chalk,6.71,0.52,31
chameleon,6.152,1.077,33
champion,4.788,1.701,33
chance,2.4,1.314,35
chandelier,6.667,0.841,33
change,3.242,1.826,33
change (coins),6.294,1.072,34
change (transform),3.771,1.64,35
chaos,3.059,1.697,34
chaotic,2.714,1.845,35
chapel,6.371,1.244,35
charge,4.171,1.576,35
