word,mean,std,n
bank (river),4.029,1.404,34
banker,4.206,1.023,34
bankrupt,5.871,1.338,31
banks,3.486,0.967,35
banks (money),3.514,1.105,35
banks (river),3.941,1.282,34
banner,4.063,1.029,32
bar,3.941,1.413,34
bar (legal),5.906,1.4,32
bar (metal),3.294,1.466,34
bar (musical),5.303,1.167,33
bar (pub),4.657,1.413,35
bare,3.688,1.446,32
barely,4.229,1.244,35
barge,5.152,1.131,33
barge (boat),4.543,1.537,35
barge (push),4.727,1.377,33
bark,2.4,0.962,35
bark (dog),2.057,1.218,35
bark (tree),3.235,1.19,34
barley,4.457,1.537,35
barn,2.639,1.512,36
barnacle,4.813,1.59,32
baroque,6.346,1.107,26
barrage,5.333,1.135,30
barrel,3.697,0.904,33
barrier,4.286,1.058,35
basement,3.941,1.211,34
basket,2.235,0.941,34
basketball,3.324,1.181,34
bass,4.514,1.381,35
bass (fish),4.886,1.817,35
bass (guitar),4.857,1.437,35
bassoon,5.222,1.227,27
bastard,5.152,1.654,33
bastards,5.879,1.066,33
bat,2.533,0.846,30
bat (animal),2.771,0.865,35
bat (club),3.457,1.441,35
bath,1.871,0.907,31
bathroom,2.059,1.083,34
battered,4.469,1.52,32
battery,3.371,1.173,35
battle,3.514,0.967,35
bayonet,6.063,0.998,32
bazooka,5.097,1.467,31
beach,2.516,0.946,31
bead,2.813,0.982,32
beagle,4.636,1.514,33
beak,2.939,1.369,33
beaker,4.242,1.793,33
bean,2.257,0.691,35
bear,2.254,0.936,67
beard,2.91,1.047,67
beast,3.059,1.056,68
beat,3.412,1.309,34
beat (hit),3.829,1.183,35
beat (mix),3.943,1.672,35
beat (rhythm),3.75,1.605,36
beaten,3.576,1.326,33
beautician,5.727,1.238,33
beautiful,2.559,0.881,34
beauty,3.333,1.064,33
beaver,3.688,1.074,32
become,3.677,1.059,31
bed,1.543,0.602,35
bee,2.091,0.965,33
beef,3.229,1.071,35
beehive,3.182,0.672,33
beer,4.147,1.478,34
beet,5.125,1.746,32
beetle,2.382,1.085,34
befall,5.697,1.267,33
beg,3.382,1.329,34
beggar,4.303,1.446,33
begin,2.743,0.84,35
